Facility,Sample Collection Date,Sample Field ID,Sample Laboratory ID #,Lab Name ,Sample    % Solids,Sample PFAS Conc. Units    (ng/g dry wt),PFBS    ,MRL, MDL,Qualifiers,PFBA,MRL,MDL,Qualifiers,PFDS,MRL,MDL,Qualifiers,PFDA,MRL,MDL,Qualifiers,PFDoA,MRL,MDL,Qualifiers,PFHpA,MRL,MDL,Qualifiers,PFHxS,MRL,MDL,Qualifiers,PFHxA,MRL,MDL,Qualifiers,PFNA,MRL,MDL,Qualifiers,PFTrDA,MRL,MDL,Qualifiers,PFOSA,MRL,MDL,Qualifiers,PFOA,MRL,MDL,Qualifiers,PFOS,MRL,MDL,Qualifiers,PFPeA,MRL,MDL,Qualifiers,PFTeDA,MRL,MDL,Qualifiers,PFUnA,MRL,MDL,Qualifiers,4:2FTS,MRL,MDL,Qualifiers,PFPeS,MRL,MDL,Qualifiers,6:2FTS,MRL,MDL,Qualifiers,8:2FTS,MRL,MDL,Qualifiers,PFNS,MRL,MDL,Qualifiers,NMeFOSAA,MRL,MDL,Qualifiers,NEtFOSAA,MRL,MDL,Qualifiers,PFTA,MRL,MDL,Qualifiers,PFHpS,MRL,MDL,Qualifiers,,,,,,,,,,,,,,,,,
"Concord, NH WWTF",3/11/2020,,,Alpha Analytical,45%,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,1.55,,,,<MRL,1.04,,,<MRL,1.04,,,Not Reported,,,,<MRL,1.04,,,6.56,,,,<MRL,1.04,,,Not Reported,,,,<MRL,1.04,,,<MRL,1.04,,,<MRL,1.04,,,5.09,,,,<MRL,1.04,,,<MRL,1.04,,,2.35,,,,1.42,,,,<MRL,1.04,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Concord, NH WWTF",9/2/2020, , ,Alpha Analytical,30%, ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,<MRL,11.2, , ,Not Reported, , , ,<MRL,11.2, , ,<MRL,11.2,,,<MRL,11.2,,,Not Reported,,,,<MRL,11.2,,,Not Reported,,,,<MRL,11.2,,,Not Reported,,,,Not Reported,,,,<MRL,11.2,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Concord, NH WWTF",3/1/2021,Dewatered sludge cake,,Alpha Analytical,23%,,ND,0.512,,,ND,1.02,,,13.5,1.02,,F,0.701,0.512,,,ND,1.02,,,ND,0.512,,,1.71,0.512,,,ND,1.02,,,ND,0.512,,,ND,1.02,,,Not Reported,,,,0.895,0.512,,,14,0.512,,,ND,1.02,,,Not Reported,,,,ND,1.02,,,Not Reported,,,,ND,2.05,,,Not Reported,,,,Not Reported,,,,ND,2.05,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"Concord, NH WWTF",3/19/2021,,,Alpha Analytical,23%,,ND,0.528,,,ND,1.06,,,1.84,1.06,,F,0.662,0.528,,,ND,1.06,,,ND,0.528,,,ND,0.528,,,ND,1.06,,,ND,0.528,,,ND,1.06,,,Not Reported,,,,0.763,0.528,,,3.11,0.528,,F,ND,1.06,,,Not Reported,,,,ND,1.06,,,ND,2.11,,,ND,2.11,,,ND,1.06,,,ND,1.06,,,ND,2.11,,,2.93,1.06,,F,2.56,1.06,,F,ND,1.06,,,ND,1.06,,,,,,,,,,,,,,,,,,,
"Concord, NH WWTF",6/1/2021,,L2129018,Alpha Analytical,,,ND,,,,ND,,,,ND,,,,0.902,,,,ND,,,,ND,,,,ND,,,,ND,,,,ND,,,,ND,,,,Not Tested,,,,1.45,,,F,2.88,,,,ND,,,,,,,,ND,,,,ND,,,,ND,,,,Not Tested,,,,Not Tested,,,,ND,,,,Not Tested,,,,Not Tested,,,,Not Tested,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Dartmouth WWTF,10/27/2020,Primary,,Enthalpy,51%,,ND,2.04,0.599,U,ND,2.04,0.881,U,0.654,0.509,0.453,,2.63,0.509,0.175,,0.712,0.509,0.138,,1.42,0.509,0.136,,ND,0.509,0.212,U,14.8,0.509,0.136,,0.733,0.509,0.0513,,<MRL,0.509,0.177,J,Not Reported,,,,4.49,0.509,0.106,,2.59,0.509,0.15,,ND,2.04,0.599,U,Not Reported,,,,<MRL,0.509,0.115,J,Not Reported,,,,ND,0.509,2.37,U,Not Reported,,,,Not Reported,,,,<MRL,0.509,0.109,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Dartmouth WWTF,10/27/2020,Duplicate,,Enthalpy,50%,,ND,2.06,0.608,U,ND,2.06,0.893,U,0.593,0.499,0.444,,3.15,0.499,0.171,,1.08,0.499,0.135,,1.94,0.499,0.126,,ND,0.499,0.208,U,13.4,0.499,0.134,,0.919,0.499,0.0502,,<MRL,0.499,0.174,J,Not Reported,,,,4.56,0.499,0.104,,3.43,0.499,0.147,,ND,2.06,0.608,U,Not Reported,,,,<MRL,0.499,0.113,J,Not Reported,,,,ND,0.499,2.32,U,Not Reported,,,,Not Reported,,,,ND,0.499,0.107,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Dartmouth WWTF,4/26/2021,Primary,0421-793-001-1,Enthalpy,40%,,ND,0.185,0.57,U,ND,0.27,0.68,U,1.69,0.56,0.606,,1.88,0.216,0.628,,0.936,1.71,0.628,,0.393,0.158,0.682,J,ND,0.262,0.574,U,10.9,0.168,0.628,,0.462,0.063,0.63,J,<MRL,0.219,0.628,U,Not Reported,,,,3.16,0.131,0.628,,2.11,0.185,0.583,,ND,0.185,0.628,U,,,,,0.382,0.142,0.628,J,Not Reported,,,,ND,2.92,0.591,U,Not Reported,,,,Not Reported,,,,ND,0.134,0.604,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Dartmouth WWTF,4/26/2021,Duplicate,0421-793-002-1,Enthalpy,46%,,1.98,0.161,0.486,,ND,0.237,0.548,U,0.617,0.489,0.529,,1.71,0.188,0.548,,ND,0.17,0.256,U,0.383,0.138,0.548,J,ND,0.229,0.501,U,8.88,0.147,0.548,,0.33,0.0552,0.0554,J,<MRL,0.191,0.548,U,Not Reported,,,,2.59,0.114,0.548,,1.57,0.161,0.509,,3.84,0.161,0.548,,,,,,0.414,0.124,0.548,J,Not Reported,,,,ND,2.55,0.516,U,Not Reported,,,,Not Reported,,,,ND,0.117,0.527,U,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"EarthSource, Inc.",10/30/2020,,,Alpha Analytical,28%,,<MRL,1.72,,,<MRL,1.72,,,<MRL,1.72,,,<MRL,1.72,,J,<MRL,1.72,,,<MRL,1.72,,,<MRL,1.72,,,<MRL,1.72,,J,<MRL,1.72,,J,<MRL,1.72,,,Not Reported,,,,<MRL,1.72,,J,<MRL,1.72,,J,<MRL,1.72,,,Not Reported,,,,<MRL,1.72,,,Not Reported,,,,<MRL,1.72,,,Not Reported,,,,Not Reported,,,,<MRL,1.72,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"EarthSource, Inc.",1/22/2021,Primary,,Alpha Analytical,47%,,ND,0.252,0.039,,<MRL,0.503,0.023,J,2.52,0.503,0.154,F,<MRL,0.252,0.067,J,ND,0.503,0.071,,ND,0.252,0.045,,<MRL,0.252,0.061,JF,<MRL,0.503,0.053,J,<MRL,0.252,0.076,J,ND,0.503,0.206,,Not Reported,,,,<MRL,0.252,0.042,JF,1.57,0.252,0.131,F,<MRL,0.503,0.046,J,Not Reported,,,,ND,0.503,0.047,,Not Reported,,,,ND,1.01,0.084,,Not Reported,,,,Not Reported,,,,ND,1.01,0.301,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
"EarthSource, Inc.",1/22/2021,Duplicate,,Alpha Analytical,44%,,ND,0.282,0.044,,ND,0.564,0.026,,3.32,0.564,0.173,F,<MRL,0.282,0.076,JF,ND,0.564,0.079,,ND,0.282,0.051,,<MRL,0.282,0.068,JF,<MRL,0.564,0.059,JF,<MRL,0.282,0.085,J,ND,0.564,0.231,,Not Reported,,,,<MRL,0.282,0.047,JF,1.8,0.282,0.147,F,<MRL,0.564,0.052,J,Not Reported,,,,<MRL,0.564,0.053,JF,Not Reported,,,,ND,1.13,0.094,,Not Reported,,,,Not Reported,,,,ND,1.13,0.337,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),7/31/2019,,,Eurofins,47%,,<MRL,0.42,,,<MRL,0.42,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,<MRL,0.42,,,<MRL,0.42,,,1.7,,,I,2,,,,Not Reported,,,,Not Reported,,,,0.97,,,,10,,,I B,<MRL,0.42,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),5/19/2020,,,Eurofins,42%,,<MRL,0.44,,,0.63,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,<MRL,0.44,,,<MRL,0.44,,,0.61,,,,0.64,,,,Not Reported,,,,Not Reported,,,,0.6,,,,1.3,,,,<MRL,0.44,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),9/22/2020,Primary,,"Eurofins TestAmerica, Sacramento",41%,,<MRL,0.47,,,1.50,0.47,0.07,B,0.21,0.47,0.09,J,0.72,0.47,0.05,,0.51,0.47,0.16,,0.22,0.47,0.07,J,0.50,0.47,0.072,,1.4,0.47,0.098,,0.64,0.47,0.084,,Not Reported,,,,Not Reported,,,,1.1,0.47,0.2,I,Not Reported,,,,0.37,0.47,0.18,J,Not Reported,,,,0.73,0.47,0.084,,Not Reported,,,,<MRL,0.47,0.047,,Not Reported,,,,Not Reported,,,,<MRL,0.47,0.047,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),9/22/2020,FIELD DUPLICATE SAMPLE,320-64927-2,"Eurofins TestAmerica, Sacramento",41%,,ND,0.45,0.056,,1.8,0.45,0.063,B,0.21,0.45,0.088,J,0.75,0.45,0.049,,0.50,0.45,0.15,,0.25,0.45,0.065,J,ND,0.45,0.070,,1.3,0.45,0.094,,0.78,0.45,0.081,,ND,0.45,0.11,,Not Reported,,,,1.1,0.45,0.19,I,48,11,4.5,,0.25,0.45,0.17,J,,,,,0.75,0.45,0.081,,Not Reported,,,,ND,0.45,0.045,,Not Reported,,,,Not Reported,,,,ND,0.45,0.045,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),9/22/2020,Primary,,"Eurofins, Lancaster",42%,,ND,4.70,0.94,,ND,4.70,1.90,,ND,1.40,0.47,,<MRL,1.40,0.47,J,<MRL,1.40,0.47,J,ND,1.40,0.47,,ND,1.4,0.47,,<MRL,1.4,0.47,J I,ND,1.4,0.47,,ND,1.4,0.47,,Not Reported,,,,<MRL,1.4,0.47,J,140,1.4,0.47,,ND,1.4,0.47,,Not Reported,,,,<MRL,1.4,0.47,J,Not Reported,,,,ND,1.4,0.47,,Not Reported,,,,Not Reported,,,,ND,1.4,0.47,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),12/15/2020,PRIMARY SAMPLE,320-67955-1,"Eurofins TestAmerica, Sacramento",43%,,ND,4.5,0.56,,0.98,4.5,0.63,J F1 B,ND,4.5,0.88,,0.54,4.5,0.50,J,ND,4.5,1.5,,ND,4.5,0.65,,ND,4.5,0.70,,ND,4.5,0.95,,1.1,4.5,0.81,J,ND,4.5,1.1,F1,Not Reported,,,,ND,4.5,1.9,,10,11,4.5,J I F1,ND,4.5,1.7,,,,,,0.96,4.5,0.81,J F1,Not Reported,,,,ND,4.5,0.45,F1 *+,Not Reported,,,,Not Reported,,,,ND,4.5,0.45,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),12/15/2020,DUPLICATE SAMPLE,320-67955-2,"Eurofins TestAmerica, Sacramento",42%,,ND,4.7,0.59,,0.69,4.7,0.66,J B,ND,4.7,0.92,,ND,4.7,0.52,,ND,4.7,1.6,,ND,4.7,0.69,,ND,4.7,0.73,,ND,4.7,0.99,,1.0,4.7,0.85,J,ND,4.7,1.2,,Not Reported,,,,ND,4.7,2,,13,12,4.7,I,ND,4.7,1.8,,,,,,ND,4.7,0.85,,Not Reported,,,,ND,4.7,0.47,*+,Not Reported,,,,Not Reported,,,,ND,4.7,0.47,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),12/15/2020,PRIMARY SAMPLE,,"Eurofins, Lancaster",44%,,ND,4.5,0.9,,ND,4.5,1.8,,ND,1.4,0.45,,0.53,1.4,0.45,JI,0.46,1.4,0.45,J,ND,1.4,0.45,,ND,1.4,0.45,,ND,1.4,0.45,,0.74,1.4,0.45,J,0.47,1.4,0.45,J,Not Reported,,,,0.58,1.4,0.45,J,4.1,1.4,0.45,I,ND,1.4,0.45,,Not Reported,,,,0.61,1.4,0.45,J,Not Reported,,,,ND,1.4,0.45,,Not Reported,,,,Not Reported,,,,ND,1.4,0.45,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),3/23/2021,Primary,,"Eurofins TestAmerica, Sacramento",42%,,ND,0.45,0.06,,<MRL,0.45,0.06,J,ND,0.45,0.09,,0.69,0.45,0.05,,0.59,0.45,0.15,,<MRL,0.45,0.07,J,ND,0.45,0.07,,<MRL,0.45,0.094,J,0.87,0.45,0.081,,Not Reported,,,,Not Reported,,,,0.75,0.45,0.19,,6.1,1.1,0.45,B,<MRL,0.45,0.17,J,Not Reported,,,,0.87,0.45,0.081,,Not Reported,,,,ND,0.45,0.045,,Not Reported,,,,Not Reported,,,,ND,0.45,0.045,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),3/23/2021,Duplicate,,"Eurofins TestAmerica, Sacramento",42%,,ND,0.46,0.06,,<MRL,0.46,0.07,J,ND,0.46,0.09,,0.67,0.46,0.05,,0.63,0.46,0.16,,<MRL,0.46,0.07,J,ND,0.46,0.072,,<MRL,0.46,0.097,J,0.9,0.46,0.083,,Not Reported,,,,Not Reported,,,,0.82,0.46,0.2,,7.1,1.2,0.46,B,ND,0.46,0.18,,Not Reported,,,,0.93,0.46,0.083,,Not Reported,,,,ND,0.46,0.046,,Not Reported,,,,Not Reported,,,,ND,0.46,0.046,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Eresco (Erving),6/23/2021,PRIMARY SAMPLE,320-75380-1,"Eurofins TestAmerica, Sacramento", , ,ND,0.44,0.055, ,ND,1.7,0.24, ,ND,0.44,0.086, ,0.74,0.44,0.048, ,0.56,0.44,0.15, ,0.12,0.44,0.064,J,ND,0.44,0.068, ,0.45,0.44,0.092, ,0.61,0.44,0.079, ,0.49,0.44,0.11, ,Not Reported, , , ,0.38,0.44,0.19,J,15,1.1,0.44,I,ND,0.44,0.17, , , , , ,0.73,0.44,0.079, ,Not Reported, , , , , , , ,ND,0.44,0.044, ,Not Reported, , , , , , , ,ND,0.44,0.044, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Eresco (Erving),6/23/2021,DUPLICATE SAMPLE,320-75380-2,"Eurofins TestAmerica, Sacramento", , ,ND,0.54,0.067, ,ND,0.54,0.075, ,ND,0.54,0.1, ,0.65,0.54,0.059, ,0.55,0.54,0.18, ,0.1,0.54,0.078,J I,ND,0.54,0.083, ,0.36,0.54,0.11,J,0.61,0.54,0.097, ,0.48,0.54,0.14,J,Not Reported, , , ,0.37,0.54,0.23,J,17,1.3,0.54,I F1,ND,0.54,0.21, , , , , ,1,0.54,0.097,F1,Not Reported, , , , , , , ,ND,0.54,0.054, ,Not Reported, , , , , , , ,ND,0.54,0.054, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Eresco (Erving),5/14/2021,PRIMARY SAMPLE,L2125554-01,"Eurofins TestAmerica, Sacramento",45%,,ND,0.261,,,ND,0.521,,,ND,0.521,,,0.4,0.261,,,ND,0.521,,,ND,0.261,,,ND,0.261,,,ND,0.521,,,0.344,0.261,,,ND,0.521,,,Not Reported,,,,0.309,0.261,,,5.54,0.261,,F,ND,0.521,,,,,,,ND,0.521,,,ND,1.04,,,ND,1.04,,,ND,0.521,,,ND,0.521,,,ND,1.04,,,0.91,0.521,,,3.39,0.521,,,ND,0.521,,,ND,0.521,,,,,,,,,,,,,,,,,,,
Eresco (Erving),5/14/2021,DUPLICATE SAMPLE,L2125554-03,"Eurofins TestAmerica, Sacramento",45%,,ND,0.268,,,ND,0.536,,,ND,0.536,,,0.426,0.268,,,ND,0.536,,,ND,0.268,,,ND,0.268,,,ND,0.536,,,0.371,0.268,,,0.564,0.536,,,Not Reported,,,,0.316,0.268,,,7.15,0.268,,F,ND,0.536,,,,,,,ND,0.536,,,ND,1.07,,,ND,1.07,,,ND,0.536,,,ND,0.536,,,ND,1.07,,,0.977,0.536,,,3.72,0.536,,,ND,0.536,,,ND,0.536,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,9/29/2020,,,Alpha Analytical,96%,ng/g,<MRL,2.55,,,<MRL,2.55,,,<MRL,2.55,,,0.87,,,,<MRL,2.55,,,<MRL,0.64,,,<MRL,0.637,,,<MRL,2.55,,,<MRL,0.637,,,<MRL,2.55,,,Not Reported,,,,<MRL,0.637,,,4.72,,,F,<MRL,2.55,,,Not Reported,,,,<MRL,2.55,,,Not Reported,,,,<MRL,2.55,,,Not Reported,,,,Not Reported,,,,<MRL,2.55,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,9/29/2020,SYNAGRO BIOSOLIDS PELLET,320-65156-1,EUROFINS,93.4,ng/g,ND,4.20,0.53,F2 F1,0.77,0.42,0.059,,ND,0.42,0.082,F2 F1,2.30,0.42,0.047,,ND,4.20,1.40,F1,0.16,0.42,0.061,J,2.80,0.42,0.066,,4.40,0.42,0.089,F1,1.10,0.42,0.076,,ND,0.42,0.11,F1,Not Reported,,,,1.60,0.42,0.18,,11.00,1.10,0.42,F1,2.50,0.42,0.16,,,,,,1.20,0.42,0.076,F1,Not Reported,,,,ND,0.42,0.042,,Not Reported,,,,Not Reported,,,,ND,0.42,0.042,F2 F1,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample,320-67914-1,"Eurofins TestAmerica, Sacramento", ,ng/g,ND,0.21,0.026, ,0.68,0.21,0.029,B,ND,0.21,0.04, ,1.8,0.21,0.023, ,1.1,0.21,0.069, ,0.19,0.21,0.03,J,ND,0.21,0.032, ,2.2,0.21,0.043, ,0.58,0.21,0.037, ,ND,0.21,0.052, ,Not Reported, , , ,1,0.21,0.088, ,9.7,0.51,0.21,B *+,1.7,0.21,0.079, , , , , ,1,0.21,0.037,I,Not Reported, , , ,ND,0.21,0.021, ,Not Reported, , , ,Not Reported, , , ,ND,0.21,0.021, ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,12/14/2020,Quarterly Pellet Sample Dup,320-67914-2,"Eurofins TestAmerica, Sacramento", ,ng/g,ND,0.2,0.025,F1,0.58,0.2,0.028,B,ND,0.2,0.039,F1 F2,1.7,0.2,0.022, ,ND,0.2,0.068,F1,0.064,0.2,0.029,J I,ND,0.2,0.031,F1,2.3,0.2,0.042, ,0.59,0.2,0.036, ,ND,0.2,0.052,F1 F2,Not Reported, , , ,1.2,0.2,0.087, ,9.6,0.5,0.2,B *+,1.8,0.2,0.078, , , , , ,ND,0.2,0.036,F1,Not Reported, , , ,ND,0.2,0.02, ,Not Reported, , , ,Not Reported, , , ,ND,0.2,0.02,F1,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,Not Reported, , , ,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT,L2055985-01,Alpha Analytical,94.6,ng/g,ND,1.81,0.07,,0.11,1.81,0.04,J,ND,0.52,0.08,,0.92,0.45,0.12,,0.6,0.52,0.04,F,0.08,0.13,0.02,J,0.17,0.45,0.11,JF,0.96,0.52,0.03,,0.36,0.45,0.14,J,0.29,0.52,0.11,J,Not Reported,,,,0.61,0.13,0.02,,6.18,0.13,0.07,F,0.09,0.52,0.02,J,,,,,ND,0.52,0.02,,ND,1.81,0.15,,,,,,Not Reported,,,,ND,1.81,0.54,,,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,14-Dec-20,PELLET SPLIT DUP,L2055985-02,Alpha Analytical,94.2,ng/g,ND,0.51,0.02,,0.11,1.85,0.04,J,ND,0.51,0.08,,0.89,0.13,0.03,,0.52,1.85,0.13,JF,0.08,0.13,0.02,J,ND,0.13,0.03,,0.91,0.51,0.03,,0.31,0.13,0.04,,ND,1.85,0.38,,Not Reported,,,,0.58,0.13,0.02,,5.6,0.13,0.07,F,0.09,0.51,0.02,J,,,,,ND,0.51,0.02,,ND,1.85,0.15,,,,,,Not Reported,,,,ND,1.85,0.55,,,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
Greater Lawrence Sanitary District,25-Mar-21,PELLET SAMPLE SPLIT,L2115169-01,Alpha Analytical,94.6,ng/g,ND,1.24,0.194,,0.213,2.48,0.113,J,ND,2.48,0.759,,0.598,1.24,0.332,J,ND,2.48,0.347,,ND,1.24,0.224,,ND,1.24,0.3,,0.926,2.48,0.26,J,ND,1.24,0.372,,ND,2.48,1.01,,Not Reported,,,,0.556,1.24,0.208,J,6.86,1.24,0.645,F,1.44,2.48,0.228,J,,,,,0.325,2.48,0.232,J,ND,4.96,0.414,,,,,,Not Reported,,,,ND,4.96,1.48,,,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,Not Reported,,,,,,,,,,,,,,,,,,,,
